SNo,Question,Gold standard answer,Dummy answer,
17,What is Tanh function?,"The hyperbolic tangent function, also known as tanh for short, is a similar shaped nonlinear activation function. It provides output values between -1.0 and 1.0. Later in the 1990s and through the 2000s, this function was preferred over the sigmoid activation function as models. It was easier to train and often had better predictive performance.",Its a popular activation function which beings non-linearity to the neural network.,
18,What is ReLU function?,"A node or unit which implements the activation function is referred to as a rectified linear activation unit or ReLU for short. Generally, networks that use the rectifier function for the hidden layers are referred to as rectified networks.Adoption of ReLU may easily be considered one of the few milestones in the deep learning revolution.",Its a popular activation function which beings non-linearity to the neural network.,
19,What is the use of leaky ReLU function?,The Leaky ReLU (LReLU or LReL) manages the function to allow small negative values when the input is less than zero.,"When the input is less than zero, the Leaky ReLU (LReLU or LReL) adjusts the function to enable minor negative values. ",
20,What is the softmax function?,"The softmax function is used to calculate the probability distribution of the event over 'n' different events. One of the main advantages of using softmax is the output probabilities range. The range will be between 0 to 1, and the sum of all the probabilities will be equal to one. When the softmax function is used for multi-classification model, it returns the probabilities of each class, and the target class will have a high probability.","The probability distribution is calculated using the softmax function.The probability range will be 0 to 1, with the sum of all probabilities equal to one. ",
21,What is a Swish function?,"Swish is a new, self-gated activation function. Researchers at Google discovered the Swish function. According to their paper, it performs better than ReLU with a similar level of computational efficiency.",Swish function is an activation function.,
22,What is the most used activation function?,Relu function is the most used activation function. It helps us to solve vanishing gradient problems.,The most used activation function is the ReLU activation function.,
23,Can Relu function be used in output layer?,"No, Relu function has to be used in hidden layers.","Yes, ReLU can be used as an activation function on the output layer.",
24,In which layer softmax activation function used?,Softmax activation function has to be used in the output layer.,Softmax activation function is used in the ouput layer of a neural network. It gives the probability of various classes.,
25,What do you understand by Autoencoder?,"Autoencoder is an artificial neural network. It can learn representation for a set of data without any supervision. The network automatically learns by copying its input to the output; typically,internet representation consists of smaller dimensions than the input vector. As a result, they can learn efficient ways of representing the data. Autoencoder consists of two parts; an encoder tries to fit the inputs to the internal representation, and a decoder converts the internal state to the outputs.",Autoencoder is an automatic encoder. It gives the the embedding vectors without even training. It directly give the output encodings by learning the input. It only consists of an encoder.,
26,What do you mean by Dropout?,"Dropout is a cheap regulation technique used for reducing overfitting in neural networks. We randomly drop out a set of nodes at each training step. As a result, we create a different model for each training case, and all of these models share weights. It's a form of model averaging.",Dropout drops certain proportion of neurons in the network randomly. This helps in avoiding overfitting.,
27,What do you understand by Boltzmann Machine?,"A Boltzmann machine (also known as stochastic Hopfield network with hidden units) is a type of recurrent neural network. In a Boltzmann machine, nodes make binary decisions with some bias. Boltzmann machines can be strung together to create more sophisticated systems such as deep belief networks. Boltzmann Machines can be used to optimize the solution to a problem.","A Boltzmann machine is a stochastic spin-glass model with an external field, that is a Sherrington–Kirkpatrick model, that is a stochastic Ising Model. It is a statistical physics technique applied in the context of cognitive science. It is also classified as Markov random field.",
28,What is Model Capacity?,"The capacity of a deep learning neural network controls the scope of the types of mapping functions that it can learn. Model capacity can approximate any given function. When there is a higher model capacity, it means that the larger amount of information can be stored in the network.","Its the number of paramters in the model. The more the parameters in the model, the better it can hold information and aproximate any mathematical function.",
29,What is the cost function?,"A cost function describes us how well the neural network is performing with respect to its given training sample and the expected output. It may depend on variables such as weights and biases.It provides the performance of a neural network as a whole. In deep learning, our priority is to minimize the cost function. That's why we prefer to use the concept of gradient descent.",Cost function is used to determine how well a model is functioing. It is similar to loss function.,
30,Explain gradient descent?,"An optimization algorithm that is used to minimize some function by repeatedly moving in the direction of steepest descent as specified by the negative of the gradient is known as gradient descent. It's an iteration algorithm, in every iteration algorithm, we compute the gradient of a cost function, concerning each parameter and update the parameter of the function","Gradient Descent is an algorithm used to reduce the loss incurred by a model. It finds the gradient of the loss curve with respect to a weight or bias and travels down it, thus the name descent, to update weights and biases.",
31,"Explain the following variant of Gradient Descent: Stochastic, Batch, and Mini-batch?","Stochastic gradient descent is used to calculate the gradient and update the parameters by using only a single training example.Batch gradient descent is used to calculate the gradients for the whole dataset and perform just one update at each iteration.Mini-batch gradient descent is a variation of stochastic gradient descent. Instead of a single training example, mini-batch of samples is used. Mini-batch gradient descent is one of the most popular optimization algorithms.",Stochastic uses single datapoint to calculate gradient. Batch gradient uses the all the datapoints where-as mini batch divides the dataset into batches and then calculates gradients of each batch.,
32,What are the main benefits of Mini-batch Gradient Descent?,"It is computationally efficient compared to stochastic gradient descent.It improves generalization by finding flat minima.It improves convergence by using mini-batches. We can approximate the gradient of the entire training set, which might help to avoid local minima.",Mini batch gradient descent uses less memory than batch gradient descent and gives better results than stochastic gradient descent.,
33,What is matrix element-wise multiplication? Explain with an example.,Element-wise matrix multiplication is used to take two matrices of the same dimensions. It further produces another combined matrix with the elements that are a product of corresponding elements of matrix a and b.,Element to element multiplication of two or more matrices.,
34,What do you understand by a convolutional neural network?,"A convolutional neural network, often called CNN, is a feedforward neural network. It uses convolution in at least one of its layers. The convolutional layer contains a set of filter (kernels). This filter is sliding across the entire input image, computing the dot product between the weights of the filter and the input image. As a result of training, the network automatically learns filters that can detect specific features.",Convolutional Neural network is used for image data and uses convolution operation.,
35,Explain the different layers of CNN.,"Convolution, ReLu, Pooling and then full collectedness.",There are a lot of tools.,
36,What is convolution ?,This layer comprises of a set of independent filters. All these filters are initialized randomly. These filters then become our parameters which will be learned by the network subsequently.,Convolution is a mathematical operation of two signals to produce a third signal which signifies how one is modified by the other.,
37,What is ReLU function?,The ReLu layer is used with the convolutional layer.,It is a piecewise linear function used for neural network training,
38,What is pooling ?,It reduces the spatial size of the representation to lower the number of parameters and computation in the network. This layer operates on each feature map independently.,It is an operation where we select a subset of elements of a tensor to pass on to the next layer of a neural network.,
39,What is full collectedness ?,"Neurons in a completely connected layer have complete connections to all activations in the previous layer, as seen in regular Neural Networks. Their activations can be easily computed with a matrix multiplication followed by a bias offset.",Every node is connected to each other,
40,What is an RNN?,"RNN stands for Recurrent Neural Networks. These are the artificial neural networks which are designed to recognize patterns in sequences of data such as handwriting, text, the spoken word, genomes, and numerical time series data. RNN use backpropagation algorithm for training because of their internal memory. RNN can remember important things about the input they received, which enables them to be very precise in predicting what's coming next.",Neural network good at training language data,
41,What are the issues faced while training in Recurrent Networks?,"Recurrent Neural Network uses backpropagation algorithm for training, but it is applied on every timestamp. It is usually known as Back-propagation Through Time (BTT).
There are two significant issues with Back-propagation,vanishing and exploding gradient.",Coding is difficult.,
42,Explain the importance of LSTM.,"LSTM stands for Long short-term memory. It is an artificial RNN (Recurrent Neural Network) architecture, which is used in the field of deep learning. LSTM has feedback connections which makes it a ""general purpose computer."" It can process not only a single data point but also entire sequences of data.
They are a special kind of RNN which are capable of learning long-term dependencies.",A modification to baseline RNN that allows them to retain long term dependencies.,
43,What are the different layers of Autoencoders? Explain briefly.,An autoencoder contains three layers- The encoder is used to compress the input into a latent space representation. It encodes the input images as a compressed representation in a reduced dimension. The compressed images are the distorted version of the original image.The code layer is used to represent the compressed input which is fed to the decoder.The decoder layer decodes the encoded image back to its original dimension. The decoded image is a reduced reconstruction of the original image. It is automatically reconstructed from the latent space representation.,Autoencoders have two layers - encoder and decoder,
44,What do you understand by Deep Autoencoders?,Deep Autoencoder is the extension of the simple Autoencoder. The first layer present in DeepAutoencoder is responsible for first-order functions in the raw input. The second layer is responsible for second-order functions corresponding to patterns in the appearance of first-order functions. Deeper layers which are available in the Deep Autoencoder tend to learn even high-order features.,Autoencoders with ten or more layers are called deep autoencoder,
45,What are the three steps to developing the necessary assumption structure in Deep learning?,"The procedure of developing an assumption structure involves three specific actions.The first step contains algorithm development. This particular process is lengthy.The second step contains algorithm analyzing, which represents the in-process methodology.The third step is about implementing the general algorithm in the final procedure. The entire framework is interlinked and required for throughout the process.",First step is understanding the problem requirements and deciding on an architecture suitable for such a task. Next step is deciding the model size based on input complexity and available computational resources. The final step is to decide the hyperparameters.,
46,What do you understand by Perceptron?,A perceptron is a neural network unit (an artificial neuron) that does certain computations to detect features. It is an algorithm for supervised learning of binary classifiers. This algorithm is used to enable neurons to learn and processes elements in the training set one at a time.,Perceptron is a neural network used for training classification problems with binary labels.,
47,What are the types of perceptrons ?,Single layer and multi layer perceptrons.,Shallow and deep perceptrons.,
48,What is the difference between a Perceptron and Logistic Regression?,"A Multi-Layer Perceptron (MLP) is one of the most basic neural networks that we use for classification. For a binary classification problem, we know that the output can be either 0 or 1. This is just like our simple logistic regression, where we use a logit function to generate a probability between 0 and 1.
Simply put, it is just the difference in the threshold function! When we restrict the logistic regression model to give us either exactly 1 or exactly 0, we get a Perceptron model:",Perceptron uses a step function and logistic regression uses a logistic function,
49,Can we have the same bias for all neurons of a hidden layer?,"Essentially, you can have a different bias value at each layer or at each neuron as well. However, it is best if we have a bias matrix for all the neurons in the hidden layers as well.A point to note is that both these strategies would give you very different results.",Yes,
50,What if we do not use any activation function(s) in a neural network?,"In order to capture non-linear relationships, we use activation functions, and that is why a neural network without an activation function is just a linear regression model.",Any neural network without any activation functions can be simplified to a single layer network.,
51,"In a neural network, what if all the weights are initialized with the same value?","In simplest terms, if all the neurons have the same value of weights, each hidden unit will get exactly the same signal. While this might work during forward propagation, the derivative of the cost function during backward propagation would be the same every time.
In short, there is no learning happening by the network! What do you call the phenomenon of the model being unable to learn any patterns from the data? Yes, underfitting.
Therefore, if all weights have the same initial value, this would lead to underfitting.",Training will procees normally,
52,List the supervised and unsupervised tasks in Deep Learning.,"Some example of Supervised Learning and Deep learning include,Image classification,Text classification and Sequence tagging
On the other hand, there are some unsupervised deep learning techniques as well,Word embeddings (like Skip-gram and Continuous Bag of Words): Understanding Word Embeddings: From Word2Vec to Count Vectors.Autoencoders: Learn How to Enhance a Blurred Image using an Autoencoder!","Supervised tasks include classification, regression, generation etc. Unsupervised tasks mostly include some variant of clustering",
53,What is the role of weights and bias in a neural network?,"This is a question best explained with a real-life example. Consider that you want to go out today to play a cricket match with your friends. Now, a number of factors can affect your decision-making, like,How many of your friends can make it to the game?,How much equipment can all of you bring?,What is the temperature outside?
And so on. These factors can change your decision greatly or not too much. For example, if it is raining outside, then you cannot go out to play at all. Or if you have only one bat, you can share it while playing as well. The magnitude by which these factors can affect the game is called the weight of that factor.
Factors like the weather or temperature might have a higher weight, and other factors like equipment would have a lower weight.
However, does this mean that we can play a cricket match with only one bat? No – we would need 1 ball and 6 wickets as well. This is where bias comes into the picture. Bias lets you assign some threshold which helps you activate a decision-point (or a neuron) only when that threshold is crossed.",Weights and biases help us track our experiments by providing live monitoring of various useful metrics.,
54,What are the common data structures used in Deep Learning?,"The common data structures used in deep learning are lists, matrix,dataframes, tensors and computation graphs.",Tensor,
55,Why should we use Batch Normalization?,"Batch Normalization is one of the techniques used for reducing the training time of our deep learning algorithm. Just like normalizing our input helps improve our logistic regression model, we can normalize the activations of the hidden layers in our deep learning model as well.",Batch normalisation performs regularisation,
56,List the activation functions,"Sigmoid, Tanh, Relu and Softmax.","Sigmoid, Tanh, Softmax, Relu, Gelu, Leaky-Relu, ",
57,Why do RNNs work better with text data?,"The main component that differentiates Recurrent Neural Networks (RNN) from the other models is the addition of a loop at each node. This loop brings the recurrence mechanism in RNNs. In a basic Artificial Neural Network (ANN), each input is given the same weight and fed to the network at the same time. So, for a sentence like “I saw the movie and hated it”, it would be difficult to capture the information which associates “it” with the “movie”.",RNNs can exploit dependencies across time steps so they are useful with sequence data,
58,How backpropagation is different in RNN compared to ANN?,"This loop essentially includes a time component into the network as well. This helps in capturing sequential information from the data, which could not be possible in a generic artificial neural network.
This is why the backpropagation in RNN is called Backpropagation through Time, as in backpropagation at each time step.",In RNN the gradients have to backpropagate through multiple time steps.,
59,Why is GRU faster as compared to LSTM?,"As you can see, the LSTM model can become quite complex. In order to still retain the functionality of retaining information across time and yet not make a too complex model, we need GRUs.
Basically, in GRUs, instead of having an additional Forget gate, we combine the input and Forget gates into a single Update Gate.It is this reduction in the number of gates that makes GRU less complex and faster than LSTM.","Since it has fewer components, it involves less computation",
60,How is the transformer architecture better than RNN?,"Advancements in deep learning have made it possible to solve many tasks in Natural Language Processing. Networks/Sequence models like RNNs, LSTMs, etc. are specifically used for this purpose – so as to capture all possible information from a given sentence, or a paragraph. However, sequential processing comes with its caveats.It requires high processing power.It is difficult to execute in parallel because of its sequential nature
This gave rise to the Transformer architecture. Transformers use what is called the attention mechanism. This basically means mapping dependencies between all the parts of a sentence.",Attention mechanism used in transformer is parallelisable,
61,What is Deep Learning?,"Deep Learning involves taking large volumes of structured or unstructured data and using complex algorithms to train neural networks. It performs complex operations to extract hidden patterns and features (for instance, distinguishing the image of a cat from that of a dog).",Learning multi layer neural networks to perform classification or generation tasks.,
62,What is a Neural Network?,"Neural Networks replicate the way humans learn, inspired by how the neurons in our brains fire, only much simpler.",Neural Networks are a mathematical imitation of nural networks present in the human brain.,
63,What Is a Multi-layer Perceptron(MLP)?,"As in Neural Networks, MLPs have an input layer, a hidden layer, and an output layer. It has the same structure as a single layer perceptron with one or more hidden layers. A single layer perceptron can classify only linear separable classes with binary output (0,1), but MLP can classify nonlinear classes.
Except for the input layer, each node in the other layers uses a nonlinear activation function. This means the input layers, the data coming in, and the activation function is based upon all nodes and weights being added together, producing the output. MLP uses a supervised learning method called “backpropagation.” In backpropagation, the neural network calculates the error with the help of cost function. It propagates this error backward from where it came (adjusts the weights to train the model more accurately).","Multi-layer preceptron is a neural nework consisting multiple layers, that is input layer, hidden layers, and an output layer.",
64," What Is Data Normalization, and Why Do We Need It?","The process of standardizing and reforming data is called “Data Normalization.” It’s a pre-processing step to eliminate data redundancy. Often, data comes in, and you get the same information in different formats. In these cases, you should rescale values to fit into a particular range, achieving better convergence.",Data normalisation is the process of standardising the data to remove any biases that might occur from higher range of values in a feature.,
65,What Is the Difference Between a Feedforward Neural Network and Recurrent Neural Network?,"A Feedforward Neural Network signals travel in one direction from input to output. There are no feedback loops; the network considers only the current input. It cannot memorize previous inputs (e.g., CNN).
A Recurrent Neural Network’s signals travel in both directions, creating a looped network. It considers the current input with the previously received inputs for generating the output of a layer and can memorize past data due to its internal memory.",RNNs can work on data spanning across mutiple time steps while ANNs are unable to do so.,
66,What Are the Applications of a Recurrent Neural Network (RNN)?,"The RNN can be used for sentiment analysis, text mining, and image captioning. Recurrent Neural Networks can also address time series problems such as predicting the prices of stocks in a month or quarter.","Can be used for language, speech and time-series data",
67,What Are Hyperparameters?,"With neural networks, you’re usually working with hyperparameters once the data is formatted correctly. A hyperparameter is a parameter whose value is set before the learning process begins. It determines how a network is trained and the structure of the network (such as the number of hidden units, the learning rate, epochs, etc.).","Hyperparameters are decided by the users and decide how the traning process will be carried out. The various hyperparameters are learning rate, batch size, number of epochs, etc.",
68,What Will Happen If the Learning Rate Is Set Too Low or Too High?,"When your learning rate is too low, training of the model will progress very slowly as we are making minimal updates to the weights. It will take many updates before reaching the minimum point.
If the learning rate is set too high, this causes undesirable divergent behavior to the loss function due to drastic updates in weights. It may fail to converge (model can give a good output) or even diverge (data is too chaotic for the network to train).",If the learning rate is set too low them the model will take a very long time to converge. If it is set too high then it will start oscillating around the optimal point but never reach the optimal point.,
69,What Is Dropout and Batch Normalization?,Dropout is a technique of dropping out hidden and visible units of a network randomly to prevent overfitting of data (typically dropping 20 percent of the nodes). It doubles the number of iterations needed to converge the network.Batch normalization is the technique to improve the performance and stability of neural networks by normalizing the inputs in every layer so that they have mean output activation of zero and standard deviation of one.,They provide regularising effect,
70,"What is Overfitting and Underfitting, and How to Combat Them?","Overfitting occurs when the model learns the details and noise in the training data to the degree that it adversely impacts the execution of the model on new information. It is more likely to occur with nonlinear models that have more flexibility when learning a target function. An example would be if a model is looking at cars and trucks, but only recognizes trucks that have a specific box shape. It might not be able to notice a flatbed truck because there's only a particular kind of truck it saw in training. The model performs well on training data, but not in the real world.
Underfitting alludes to a model that is neither well-trained on data nor can generalize to new information. This usually happens when there is less and incorrect data to train a model. Underfitting has both poor performance and accuracy.
To combat overfitting and underfitting, you can resample the data to estimate the model accuracy (k-fold cross-validation) and by having a validation dataset to evaluate the model.",Overfitting is following the training data too closely as a result it struggles with out of distribution data that is the test dataset. In underfitting the model fit both the trining and test data badly.  To avoid overfitting we can increase the amount of train data or use methods like dropout or regularisation. To avoid underfitting we can increase the model complexity.,
71,How Are Weights Initialized in a Network?,"There are two methods here: we can either initialize the weights to zero or assign them randomly.
Initializing all weights to 0: This makes your model similar to a linear model. All the neurons and every layer perform the same operation, giving the same output and making the deep net useless.
Initializing all weights randomly: Here, the weights are assigned randomly by initializing them very close to 0. It gives better accuracy to the model since every neuron performs different computations. This is the most commonly used method.",The wights are initialised either randomly or by using some statistical prpoperties ofthe data like Xavier initialisation,
72,What Are the Different Layers on CNN?,"There are four layers in CNN.Convolutional Layer -  the layer that performs a convolutional operation, creating several smaller picture windows to go over the data.ReLU Layer - it brings non-linearity to the network and converts all the negative pixels to zero. The output is a rectified feature map.Pooling Layer - pooling is a down-sampling operation that reduces the dimensionality of the feature map.Fully Connected Layer - this layer recognizes and classifies the objects in the image.","The different layers are Convolutional layer, pooling layers, activation layer and fully connected layers.",
73,"What is Pooling on CNN, and How Does It Work?",Pooling is used to reduce the spatial dimensions of a CNN. It performs down-sampling operations to reduce the dimensionality and creates a pooled feature map by sliding a filter matrix over the input matrix.,Pooling is used to reduce the spatial dimension of the output while trying to maintain the activation in the regions. ,
74,How Does an LSTM Network Work?,"Long-Short-Term Memory (LSTM) is a special kind of recurrent neural network capable of learning long-term dependencies, remembering information for long periods as its default behavior. There are three steps in an LSTM network:
    Step 1: The network decides what to forget and what to remember.
    Step 2: It selectively updates cell state values.
    Step 3: The network decides what part of the current state makes it to the output.","LSTM is a kind of RNN capable of learning long-term relationships, remembering information for long periods as its default behavior.",
75,What Are Vanishing and Exploding Gradients?,"While training an RNN, your slope can become either too small or too large; this makes the training difficult. When the slope is too small, the problem is known as a “Vanishing Gradient.” When the slope tends to grow exponentially instead of decaying, it’s referred to as an “Exploding Gradient.” Gradient problems lead to long training times, poor performance, and low accuracy.",Vanishing and Exploding gradients are problems encountered in deep neural networks during back propagation. In Vanishing Gradient descent the gradient becomes negligible in the initial layers thus weights are not updqated. In exploding gradient descent the weights keep on increasing or decreasing.,
76,"What Is the Difference Between Epoch, Batch, and Iteration in Deep Learning?","Epoch - Represents one iteration over the entire dataset (everything put into the training model).Batch - Refers to when we cannot pass the entire dataset into the neural network at once, so we divide the dataset into several batches.Iteration - if we have 10,000 images as data and a batch size of 200. then an epoch should run 50 iterations (10,000 divided by 50).",An epoch is one run of the model with forward and back propagation. Batch defines the amount of data to be used in one iteration. Iteration is one run of the model of batch size amount of data.,
77,Why is Tensorflow the Most Preferred Library in Deep Learning?,"Tensorflow provides both C++ and Python APIs, making it easier to work on and has a faster compilation time compared to other Deep Learning libraries like Keras and Torch. Tensorflow supports both CPU and GPU computing devices.","It's not. According to recent statistics, most papers in the field today use PyTorch instead.",
78,What Do You Mean by Tensor in Tensorflow?,A tensor is a mathematical object represented as arrays of higher dimensions. These arrays of data with different dimensions and ranks fed as input to the neural network are called “Tensors.”,A Tensor is a mathematical entity which represents vectors of higher dimension.,
79,Explain a Computational Graph.,"Everything in a tensorflow is based on creating a computational graph. It has a network of nodes where each node operates, Nodes represent mathematical operations, and edges represent tensors. Since data flows in the form of a graph, it is also called a “DataFlow Graph.”","All the computations can be represented as data flows. And the data flows throw operations of variables, thus all the tensor operations can be visualised using graphs.",
80,Explain Generative Adversarial Network.,"Suppose there is a wine shop purchasing wine from dealers, which they resell later. But some dealers sell fake wine. In this case, the shop owner should be able to distinguish between fake and authentic wine.
The forger will try different techniques to sell fake wine and make sure specific techniques go past the shop owner’s check. The shop owner would probably get some feedback from wine experts that some of the wine is not original. The owner would have to improve how he determines whether a wine is fake or authentic.
The forger’s goal is to create wines that are indistinguishable from the authentic ones while the shop owner intends to tell if the wine is real or not accurately.Let us understand this example with the help of an image shown above.
There is a noise vector coming into the forger who is generating fake wine.Here the forger acts as a Generator.The shop owner acts as a Discriminator.The Discriminator gets two inputs; one is the fake wine, while the other is the real authentic wine. The shop owner has to figure out whether it is real or fake.So, there are two primary components of Generative Adversarial Network (GAN) named,Generator and Discriminator
The generator is a CNN that keeps keys producing images and is closer in appearance to the real images while the discriminator tries to determine the difference between real and fake images The ultimate aim is to make the discriminator learn to identify real and fake images.",The generator is a CNN that keeps keys producing images and is closer in appearance to the real images while the discriminator tries to determine the difference between real and fake images The ultimate aim is to make the discriminator learn to identify real and fake images.,
81,What Is an Auto-encoder?,This Neural Network has three layers in which the input neurons are equal to the output neurons. The network's target outside is the same as the input. It uses dimensionality reduction to restructure the input. It works by compressing the image input to a latent space representation then reconstructing the output from this representation.,Autoencoder is an automatic encoder. It gives the the embedding vectors without even training. It directly give the output encodings by learning the input. It only consists of an encoder.,
82,What Is Bagging and Boosting?,"Bagging and Boosting are ensemble techniques to train multiple models using the same learning algorithm and then taking a call.With Bagging, we take a dataset and split it into training data and test data. Then we randomly select data to place into the bags and train the model separately.With Boosting, the emphasis is on selecting data points which give wrong output to improve the accuracy.","Bagging is the technique of training a model, another model to predict its error, another to pedict error of errors and so on till we require and ensambling them. Boosting is the method of predicting using different models and taking maximum voting or mean of the results.",
